	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	PRICE	categorical_label
0.0	-1.3358482241493825	0.2774895100692493	-1.2870607755252244	0	0.3345007075091127	0.4723438818154757	-0.11569241468542069	-0.2975109014079472	-0.9831032869184233	-0.6674454041485146	-1.4767317483096698	0.43910847116060225	24.0	0
1.0	-1.3358482241493825	-0.49046849186367764	-0.5937313698699885	0	0.02561225551666089	0.39563242709868324	0.3696565790013235	-0.2968233577205847	-0.8688581681079218	-0.9862320085441023	-0.3128422371522357	0.43910847116060225	21.6	0
2.0	-1.3358482241493825	-0.49046849186367764	-0.5937313698699885	0	0.02561225551666089	0.7762009427066666	-0.26094284345298646	-0.2968233577205847	-0.8688581681079218	-0.9862320085441023	-0.3128422371522357	0.3946612602444782	34.7	0
3.0	-1.3358482241493825	-0.49046849186367764	-1.305996242486397	0	-0.02363083103286041	0.68305131912199	-0.8029749312929271	-0.29596492756207293	-0.7546130492974205	-1.104301121283209	0.10615798686443992	0.4143185034014865	33.4	0
4.0	-1.3358482241493825	-0.49046849186367764	-1.305996242486397	0	-0.02363083103286041	0.7572721421921335	-0.5053886869886458	-0.29596492756207293	-0.7546130492974205	-1.104301121283209	0.10615798686443992	0.43910847116060225	36.2	0
5.0	-1.3358482241493825	-0.49046849186367764	-1.305996242486397	0	-0.02363083103286041	-2.799633781230508	-0.345967484682781	-0.29596492756207293	-0.7546130492974205	-1.104301121283209	0.10615798686443992	0.40874895117366766	28.7	0
6.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.19189875840278636	-0.06609470730137414	-0.29635820161058485	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.42491157332498575	22.9	1
7.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.27159897109555775	0.9789998411481843	-0.29605248728146455	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.43910847116060225	27.1	1
8.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.002112626928124459	1.1171648831466006	-0.29594932829245885	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.3269529782592278	16.5	1
9.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.1879137477681478	0.6176451159215577	-0.295549548015917	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.3278266335106502	18.9	1
10.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.37371486860817105	0.9152313602258384	-0.29574191287839424	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.39127584614521566	15.0	1
11.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.19040437941479688	0.5113643143843145	-0.29583597882581586	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.43910847116060225	18.9	1
12.0	-0.44587724437562837	0.04283567614529938	-0.47720541933969673	0	0.2718276882642674	0.13062921989521833	-1.0438780814440116	-0.2964441151758966	-0.5261228116764175	-0.5788935695941847	-1.5232873287559676	0.3692160510467955	21.7	1
13.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	0.1605167996550076	-0.2361439897609632	-0.29702685372017346	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.43910847116060225	20.4	2
14.0	1.3340647151718805	1.8453931112188466e-17	8.803888620080567e-17	0	7.823782096593743e-17	-1.1735673144890614e-16	0.5680474085375107	-0.2972193753592297	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.2547672131104364	18.2	3
15.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	0.10323227178207818	-0.42390673914342614	-0.2971906068569766	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.42512998713784117	19.9	2
16.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	0.15354303104439013	-1.3875193397477648	-0.2971906068569766	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.32935553020064023	23.1	2
17.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	-2.799852956815413	0.46885199376941705	-0.29737928746984643	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.32826346113636173	17.5	2
18.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	-0.08505948070459424	-1.1289027226738062	-0.2977409710376826	-0.640367930486919	-0.602507392142006	1.1769363371292796	-0.7393432561020398	20.2	2
19.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	0.049932754543787296	0.03664340085129451	-0.2977409710376826	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.3741303618360475	18.2	2
20.0	0.4440937353981259	-0.49046849186367764	-0.4378779110357232	0	0.3345007075091127	-2.8000621698737316	1.0498537088396798	-0.2977398736016293	-0.640367930486919	-0.602507392142006	1.1769363371292796	0.21709083039283744	13.6	2
